Deal Number,FE Price,FE Margin,F&I (BE) Margin,Grand Total Mrgn,After Tax Price ,Delivery Date
12925,"6,309.65",765.00,810.00,"1,575.00","7,184.67",07/15/2023 08:00:00.000 
12935,"6,309.65","1,040.00",920.00,"1,960.00","7,484.67",07/15/2023 08:00:00.000 
12936,"15,544.65","2,755.12","2,984.99","5,740.11","21,572.11",07/15/2023 08:00:00.000 
12927,"7,699.00","1,236.35",444.00,"1,680.35","8,486.16",07/15/2023 08:00:00.000 
12932,"5,951.00",319.97,449.00,768.97,"6,954.24",07/14/2023 08:00:00.000 
12931,"10,649.00","1,373.32",956.00,"2,329.32","11,649.86",07/14/2023 08:00:00.000 
12926,"5,951.00",453.76,397.45,851.21,"6,845.58",07/14/2023 08:00:00.000 
12928,"2,251.00",551.00,199.00,750.00,"2,450.00",07/13/2023 08:00:00.000 
12922,"1,329.00",359.30,199.00,558.30,"1,713.34",07/12/2023 08:00:00.000 
12924,"10,450.94","1,646.02","1,555.00","3,201.02","13,055.16",07/11/2023 08:00:00.000 
12923,"4,590.00",8.55,0.00,8.55,"4,590.00",07/10/2023 08:00:00.000 
12929,0.00,0.00,195.00,195.00,299.00,07/08/2023 08:00:00.000 
12916,"17,829.90","2,606.85","1,504.00","4,110.85","19,524.33",07/08/2023 08:00:00.000 
12845,"21,575.95","1,927.71",449.00,"2,376.71","22,663.67",07/08/2023 08:00:00.000 
12919,"2,200.00",500.00,199.00,699.00,"2,579.97",07/07/2023 08:00:00.000 
12917,"14,949.00","2,827.07","1,992.00","4,819.07","18,714.54",07/07/2023 08:00:00.000 
12920,"5,951.00","1,425.27",449.00,"1,874.27","6,737.28",07/07/2023 08:00:00.000 
12912,"3,799.00",407.20,199.00,606.20,"4,063.99",07/06/2023 08:00:00.000 
12913,"3,199.00",716.28,370.00,"1,086.28","3,829.46",07/05/2023 08:00:00.000 
12909,"6,399.00","1,161.67",558.81,"1,720.48","7,086.84",07/01/2023 08:00:00.000 
12911,"2,307.00",228.65,867.00,"1,095.65","3,704.00",07/01/2023 08:00:00.000 
12908,"7,736.99",739.63,"1,987.46","2,727.09","11,418.48",07/01/2023 08:00:00.000 
12904,"10,162.34",0.00,0.00,0.00,"10,162.34",06/30/2023 08:00:00.000 
12906,"18,244.62","3,400.22","1,285.00","4,685.22","21,266.36",06/30/2023 08:00:00.000 
12905,"6,557.00",966.30,"2,134.50","3,100.80","10,260.19",06/30/2023 08:00:00.000 
12901,"18,935.00","1,639.71",744.00,"2,383.71","20,345.14",06/29/2023 08:00:00.000 
12903,"2,664.25",10.27,420.00,430.27,"3,237.50",06/28/2023 08:00:00.000 
12902,"10,785.99","1,043.65","2,658.00","3,701.65","15,191.86",06/28/2023 08:00:00.000 
12900,"4,299.00",658.20,588.28,"1,246.48","5,333.04",06/27/2023 08:00:00.000 
12895,"3,024.00",922.68,349.00,"1,271.68","3,373.00",06/27/2023 08:00:00.000 
12887,"6,088.98",884.41,"1,042.00","1,926.41","8,098.62",06/24/2023 08:00:00.000 
12885,"23,495.00","-3,375.45","3,134.28",-241.17,"28,411.56",06/24/2023 08:00:00.000 
12897,"3,799.00",53.83,199.00,252.83,"4,233.94",06/24/2023 08:00:00.000 
12890,"3,677.70",722.00,394.00,"1,116.00","4,288.12",06/24/2023 08:00:00.000 
12898,"7,807.00","1,028.32","2,531.17","3,559.49","11,862.15",06/24/2023 08:00:00.000 
12894,"7,319.00",794.98,"2,016.24","2,811.22","10,491.24",06/24/2023 08:00:00.000 
12896,"3,101.00",395.18,199.00,594.18,"3,465.00",06/24/2023 08:00:00.000 
12888,0.00,0.00,400.00,400.00,945.00,06/21/2023 08:00:00.000 
12889,"1,822.94",599.53,295.25,894.78,"2,354.82",06/21/2023 08:00:00.000 
12884,"6,819.00","1,470.82",644.00,"2,114.82","7,467.00",06/20/2023 08:00:00.000 
12886,"3,099.99",364.26,524.02,888.28,"3,823.68",06/20/2023 08:00:00.000 
12882,"5,129.00",502.37,"1,997.75","2,500.12","8,837.00",06/17/2023 12:00:00.000 
12870,"1,229.00",234.43,270.00,504.43,"1,668.41",06/16/2023 12:00:00.000 
12876,"16,581.29","1,989.00","1,015.15","3,004.15","18,326.79",06/16/2023 12:00:00.000 
12877,"6,849.00",599.35,644.00,"1,243.35","7,981.60",06/16/2023 12:00:00.000 
12881,"1,784.25",747.50,370.00,"1,117.50","2,339.76",06/16/2023 12:00:00.000 
12848,"12,323.00","2,590.05",420.00,"3,010.05","13,524.66",06/16/2023 12:00:00.000 
12866,"8,299.50","1,249.95",349.00,"1,598.95","8,648.50",06/15/2023 12:00:00.000 
12878,"16,456.00","2,396.88","1,064.00","3,460.88","19,204.23",06/14/2023 12:00:00.000 
12874,"27,214.35","4,356.00","2,632.95","6,988.95","31,724.87",06/14/2023 12:00:00.000 
12879,"8,810.65","1,227.00",944.00,"2,171.00","11,174.12",06/14/2023 12:00:00.000 
12875,"7,807.00","1,638.27",544.00,"2,182.27","8,910.07",06/13/2023 12:00:00.000 
12868,0.00,0.00,"1,250.00","1,250.00","2,639.00",06/10/2023 12:00:00.000 
12867,"12,107.00","1,383.53","1,983.00","3,366.53","14,839.25",06/10/2023 12:00:00.000 
12872,"8,236.00","1,457.32","1,694.00","3,151.32","10,781.68",06/10/2023 12:00:00.000 
12863,"11,660.00","2,700.08","1,034.00","3,734.08","13,894.15",06/10/2023 12:00:00.000 
12873,"3,499.00",539.54,950.00,"1,489.54","4,992.88",06/10/2023 12:00:00.000 
12871,"14,335.00","1,658.30","2,114.66","3,772.96","18,352.12",06/10/2023 12:00:00.000 
12869,"6,907.00","1,323.88","1,044.00","2,367.88","8,700.25",06/10/2023 12:00:00.000 
12864,"3,999.00",742.50,"1,558.30","2,300.80","6,636.92",06/09/2023 12:00:00.000 
12861,"12,965.50","2,086.00",714.00,"2,800.00","14,536.25",06/09/2023 12:00:00.000 
12862,"2,759.00",535.30,270.00,805.30,"3,244.03",06/08/2023 12:00:00.000 
12852,"14,668.99","3,836.43",714.00,"4,550.43","16,769.59",06/07/2023 12:00:00.000 
12855,"16,914.65","3,308.52",714.00,"4,022.52","18,664.77",06/07/2023 12:00:00.000 
12858,"3,949.55",879.90,544.00,"1,423.90","4,829.35",06/07/2023 12:00:00.000 
12857,0.00,0.00,310.00,310.00,"1,000.00",06/06/2023 12:00:00.000 
12860,"13,219.35","1,658.00","3,243.00","4,901.00","17,499.82",06/06/2023 12:00:00.000 
12851,"12,369.00","3,020.76","2,082.00","5,102.76","15,412.17",06/03/2023 12:00:00.000 
12859,"8,994.00","1,034.68","2,030.05","3,064.73","11,995.12",06/03/2023 12:00:00.000 
12854,"1,399.00",503.30,199.00,702.30,"1,682.21",06/03/2023 12:00:00.000 
12842,"15,947.40","2,034.80","2,321.00","4,355.80","20,011.10",06/03/2023 12:00:00.000 
12728,"3,473.00",429.30,294.00,723.30,"3,994.45",06/03/2023 12:00:00.000 
12847,"11,729.60","1,686.00",714.00,"2,400.00","12,940.37",06/01/2023 12:00:00.000 
12844,"8,079.10","1,031.61",544.00,"1,575.61","9,205.27",06/01/2023 12:00:00.000 
12841,"9,625.55","1,339.95",349.00,"1,688.95","9,999.80",05/31/2023 12:00:00.000 
12843,"3,777.70",822.00,"1,265.25","2,087.25","5,827.64",05/31/2023 12:00:00.000 
12838,"4,989.00",626.15,449.00,"1,075.15","5,555.46",05/30/2023 12:00:00.000 
12839,"4,677.55",779.85,449.00,"1,228.85","5,237.28",05/30/2023 12:00:00.000 
12840,"12,229.00","1,937.06","1,082.00","3,019.06","14,399.18",05/30/2023 12:00:00.000 
12834,"7,869.00","1,090.32","1,544.00","2,634.32","10,651.57",05/27/2023 12:00:00.000 
12832,"4,241.00",559.48,449.00,"1,008.48","4,690.00",05/27/2023 12:00:00.000 
12835,"3,229.99",638.43,"1,508.82","2,147.25","4,115.21",05/27/2023 12:00:00.000 
12829,"16,093.99","3,158.12","1,559.00","4,717.12","18,475.00",05/27/2023 12:00:00.000 
12833,"6,450.00","2,002.26",694.50,"2,696.76","7,570.22",05/27/2023 12:00:00.000 
12836,"3,725.00",979.41,440.09,"1,419.50","4,308.49",05/27/2023 12:00:00.000 
12830,"10,297.00","1,364.76","1,545.83","2,910.59","12,426.00",05/27/2023 12:00:00.000 
12794,"26,983.80","4,036.35","1,982.06","6,018.41","32,107.40",05/26/2023 12:00:00.000 
12779,"32,042.70","3,876.31","1,414.00","5,290.31","37,410.21",05/26/2023 12:00:00.000 
12828,"7,800.00",982.55,644.00,"1,626.55","8,548.00",05/26/2023 12:00:00.000 
12831,"8,058.99","1,271.45",830.20,"2,101.65","9,176.64",05/26/2023 12:00:00.000 
12826,"5,172.55","1,066.85","1,838.25","2,905.10","8,625.47",05/25/2023 12:00:00.000 
12827,"6,527.55","1,373.27",683.77,"2,057.04","7,591.03",05/24/2023 12:00:00.000 
12825,"1,489.99",518.23,199.00,717.23,"1,763.22",05/23/2023 12:00:00.000 
12823,"5,940.00",-864.27,490.14,-374.13,"6,645.68",05/23/2023 12:00:00.000 
12824,"1,789.99",599.53,199.00,798.53,"2,071.92",05/23/2023 12:00:00.000 
12822,"11,979.00","2,169.81","1,264.00","3,433.81","14,506.60",05/23/2023 12:00:00.000 
12817,"1,459.00",442.53,199.00,641.53,"1,731.33",05/20/2023 12:00:00.000 
12820,"1,459.00",510.28,199.00,709.28,"1,731.33",05/20/2023 12:00:00.000 
12819,"15,819.10","2,584.11","1,010.55","3,594.66","16,706.57",05/20/2023 12:00:00.000 
12816,"9,009.65","1,426.00",871.15,"2,297.15","9,954.30",05/20/2023 12:00:00.000 
12821,"5,137.00",381.40,294.00,675.40,"5,935.76",05/20/2023 12:00:00.000 
12818,"1,459.00",541.30,199.00,740.30,"1,731.33",05/20/2023 12:00:00.000 
12813,"18,285.39","2,381.92","1,314.00","3,695.92","21,134.39",05/19/2023 12:00:00.000 
12812,"31,244.00","5,185.75","4,196.00","9,381.75","38,890.24",05/19/2023 12:00:00.000 
12814,"14,259.00","2,300.39","1,214.00","3,514.39","17,163.68",05/19/2023 12:00:00.000 
12809,"3,199.00",635.33,494.00,"1,129.33","3,959.23",05/17/2023 12:00:00.000 
12800,"15,629.00","3,964.47","1,511.45","5,475.92","18,729.00",05/17/2023 12:00:00.000 
12810,"3,199.00",636.33,494.00,"1,130.33","3,959.23",05/17/2023 12:00:00.000 
12751,"10,755.75","1,946.10",519.00,"2,465.10","11,344.22",05/17/2023 12:00:00.000 
12807,"2,367.95",198.73,199.00,397.73,"2,871.62",05/16/2023 12:00:00.000 
12808,"12,883.17",675.69,714.00,"1,389.69","14,147.50",05/16/2023 12:00:00.000 
12740,"13,205.75","2,231.75",528.60,"2,760.35","13,973.09",05/16/2023 12:00:00.000 
12803,"7,807.00","1,018.37","1,190.00","2,208.37","9,733.07",05/16/2023 12:00:00.000 
12777,"1,759.00",640.30,199.00,839.30,"2,040.03",05/13/2023 12:00:00.000 
12805,"11,726.00","2,234.69","1,877.00","4,111.69","15,115.35",05/13/2023 12:00:00.000 
12802,"16,351.00","3,015.75",449.00,"3,464.75","16,800.00",05/13/2023 12:00:00.000 
12804,"4,099.00",616.30,694.40,"1,310.70","5,123.50",05/13/2023 12:00:00.000 
12806,"11,399.00","2,524.50","1,989.03","4,513.53","15,668.79",05/13/2023 12:00:00.000 
12799,"5,609.65",552.10,824.25,"1,376.35","7,187.92",05/12/2023 12:00:00.000 
12798,"10,029.00","2,067.15","2,053.04","4,120.19","15,161.73",05/12/2023 12:00:00.000 
12801,"1,329.00",331.43,199.00,530.43,"1,679.61",05/12/2023 12:00:00.000 
12756,"9,751.00","1,467.47",349.00,"1,816.47","10,105.96",05/12/2023 12:00:00.000 
12797,"5,925.75",925.75,349.00,"1,274.75","6,456.72",05/12/2023 12:00:00.000 
12792,"1,399.00",473.33,199.00,672.33,"1,759.40",05/11/2023 12:00:00.000 
12795,"9,047.55","1,490.00","2,816.78","4,306.78","13,235.89",05/11/2023 12:00:00.000 
12796,"10,649.00","1,571.30",544.00,"2,115.30","12,259.28",05/11/2023 12:00:00.000 
12790,"8,949.00","1,119.38",544.00,"1,663.38","9,884.59",05/10/2023 12:00:00.000 
12793,"2,357.00",156.95,324.00,480.95,"2,919.70",05/10/2023 12:00:00.000 
